RecId,EqId,EqName,Year,Station,StationSeqNo,StationId,Magnitude,Strike,Dip,Rake,Mechanism,HypoCtrLatitude ,HypoCtrLongitude,HypocenterDepth,Fault Name,EpiD,HypD,JBD,CRD,RmsD,ClstD,Rx,Vs30,StationLatitude,StationLongitude,FileNameHorizontal1,FileNameHorizontal2,FileNameVertical,H1Azimith,H2Azimuth,LowestUsableFreqH1,LowestUsableFreqH2,Lowest Usable Freq,PGA,PGV,PGD,T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S,T11.000S,T12.000S,T13.000S,T14.000S,T15.000S,T20.000S,AveStrike ,Damping,RotD
1,0001,"Helena, Montana-01",1935,Carroll College,197,2022,6.00,268,75,160,0,46.6100,-111.9600,6,,6.31,8.71,2.07,,7.4,2.86,-2.07,593.35,46.58,-112.03,HELENA.A\A-HMC180.AT2,HELENA.A\A-HMC270.AT2,HELENA.A\A-HMCDWN.AT2,180,270,0.163,0.113,0.163,1.5702E-01,1.0054E+01,3.0052E+00,1.6193E-01,1.6390E-01,1.6512E-01,1.6469E-01,1.7318E-01,1.7720E-01,1.8561E-01,2.0079E-01,2.0623E-01,2.2470E-01,2.3061E-01,2.4250E-01,2.4271E-01,2.4366E-01,2.5783E-01,2.6852E-01,2.9165E-01,3.1686E-01,3.3573E-01,3.4175E-01,3.6458E-01,3.8277E-01,3.6444E-01,3.2849E-01,3.2273E-01,2.9854E-01,3.1665E-01,3.9349E-01,3.9083E-01,3.9605E-01,4.2126E-01,4.5471E-01,4.2524E-01,3.3850E-01,3.1572E-01,3.2851E-01,2.8509E-01,2.5691E-01,2.6837E-01,2.5842E-01,2.9261E-01,3.3048E-01,3.1518E-01,3.0995E-01,3.0020E-01,2.9110E-01,2.9546E-01,3.0354E-01,3.0878E-01,3.0466E-01,2.7589E-01,2.2762E-01,1.8937E-01,1.7641E-01,1.6753E-01,1.5839E-01,1.4302E-01,1.1745E-01,1.0792E-01,1.0061E-01,1.0092E-01,9.9005E-02,9.2829E-02,9.3279E-02,9.8719E-02,1.0116E-01,1.0206E-01,1.0114E-01,9.3501E-02,8.4652E-02,7.2231E-02,6.4970E-02,5.9109E-02,5.2473E-02,4.8717E-02,4.4579E-02,4.0150E-02,3.5895E-02,2.9659E-02,2.4789E-02,2.2632E-02,2.0750E-02,1.7620E-02,1.5257E-02,1.3044E-02,1.1158E-02,1.0605E-02,1.0043E-02,9.0096E-03,7.9872E-03,7.0264E-03,6.2001E-03,5.5791E-03,5.0928E-03,4.6436E-03,3.7258E-03,3.0366E-03,2.5597E-03,2.1718E-03,1.9123E-03,1.7001E-03,1.5206E-03,1.3680E-03,1.2367E-03,1.1232E-03,9.3788E-04,7.9445E-04,6.8145E-04,5.9072E-04,5.1685E-04,2.9478E-04,268,5,50
2,0002,"Helena, Montana-02",1935,Helena Fed Bldg,198,2229,6.00,268,75,160,0,46.6200,-111.9700,6,,6.31,8.71,2.09,,6.88,2.92,-2.09,551.82,46.59,-112.04,HELENA.B\B-FEB000.AT2,HELENA.B\B-FEB090.AT2,HELENA.B\B-FEB-UP.AT2,0,90,0.500,0.500,0.500,4.6423E-02,6.4978E-01,3.5305E-02,4.7520E-02,4.9169E-02,4.9148E-02,5.0889E-02,5.5522E-02,5.5498E-02,6.0538E-02,6.2864E-02,6.0385E-02,6.8249E-02,7.5030E-02,7.6976E-02,7.6211E-02,7.4485E-02,7.5310E-02,7.7779E-02,9.9188E-02,1.2018E-01,1.3679E-01,1.3817E-01,1.4056E-01,1.4179E-01,1.3701E-01,1.2317E-01,1.0090E-01,7.6840E-02,5.8998E-02,5.2378E-02,5.4180E-02,5.2772E-02,5.0523E-02,4.9032E-02,4.3449E-02,3.4406E-02,2.8535E-02,2.4153E-02,2.0098E-02,1.6405E-02,1.4812E-02,1.4234E-02,1.4042E-02,1.2875E-02,1.1378E-02,1.0805E-02,1.0412E-02,9.8438E-03,8.9779E-03,8.6895E-03,8.2524E-03,7.1654E-03,6.4866E-03,5.8728E-03,5.3047E-03,4.8874E-03,4.6480E-03,4.5893E-03,4.4997E-03,3.8674E-03,3.7465E-03,3.4327E-03,3.2954E-03,2.9822E-03,2.7272E-03,2.3664E-03,2.0456E-03,1.8647E-03,1.6721E-03,1.5008E-03,1.4008E-03,1.3629E-03,1.3457E-03,1.2192E-03,1.1353E-03,1.0504E-03,9.6819E-04,8.8630E-04,7.7917E-04,6.8091E-04,5.4660E-04,4.5543E-04,3.9934E-04,3.5102E-04,2.8844E-04,2.3709E-04,2.0191E-04,1.7865E-04,1.6779E-04,1.5767E-04,1.3935E-04,1.2349E-04,1.0985E-04,9.7971E-05,8.7753E-05,7.8969E-05,7.1277E-05,5.6239E-05,4.5474E-05,3.7843E-05,3.2273E-05,2.7839E-05,2.4255E-05,2.1321E-05,1.8889E-05,1.6851E-05,1.5127E-05,1.2390E-05,1.0336E-05,8.7559E-06,7.5140E-06,6.5198E-06,3.6229E-06,268,5,50
3,0003,Humbolt Bay,1937,Ferndale City Hall,133,1023,5.80,196.2,90,0,0,40.4000,-125.1000,10,,73.49,74.17,71.28,,74.34,71.57,-62.35,219.31,40.576,-124.263,HUMBOLT\FRN225.AT2,HUMBOLT\FRN315.AT2,HUMBOLT\FRN-UP.AT2,225,315,0.250,0.375,0.375,4.0961E-02,2.7907E+00,4.0224E-01,4.0997E-02,4.1184E-02,4.1234E-02,4.1309E-02,4.1490E-02,4.1511E-02,4.1590E-02,4.1759E-02,4.1802E-02,4.1704E-02,4.1852E-02,4.2186E-02,4.2261E-02,4.2364E-02,4.2751E-02,4.3054E-02,4.2583E-02,4.2825E-02,4.3674E-02,4.3823E-02,4.4051E-02,4.4966E-02,4.6361E-02,4.9794E-02,5.2278E-02,5.3464E-02,5.5675E-02,5.3223E-02,6.5446E-02,8.5192E-02,8.6976E-02,8.8631E-02,9.0010E-02,9.2072E-02,9.6094E-02,1.0129E-01,1.0253E-01,1.0235E-01,1.1276E-01,9.8703E-02,9.3900E-02,9.2540E-02,9.8893E-02,1.0421E-01,1.1102E-01,1.1617E-01,1.2613E-01,1.2110E-01,1.1538E-01,9.8382E-02,9.5192E-02,8.9718E-02,7.9701E-02,7.7055E-02,7.5329E-02,8.0853E-02,8.2295E-02,8.1349E-02,7.7760E-02,7.5255E-02,7.0986E-02,6.3358E-02,5.6946E-02,4.7057E-02,3.9890E-02,3.5645E-02,3.6656E-02,3.5785E-02,3.0533E-02,2.8635E-02,2.5149E-02,2.1392E-02,1.6157E-02,1.3365E-02,1.2527E-02,1.1063E-02,1.0959E-02,9.3465E-03,7.8610E-03,6.7107E-03,6.1563E-03,5.4387E-03,4.0353E-03,2.9596E-03,2.9638E-03,2.9391E-03,2.8031E-03,2.5680E-03,2.1236E-03,1.7225E-03,1.5373E-03,1.5903E-03,1.4255E-03,1.2570E-03,9.9041E-04,7.6616E-04,5.2666E-04,4.9661E-04,4.0252E-04,3.3452E-04,2.8836E-04,2.5516E-04,2.2614E-04,2.0072E-04,1.8000E-04,1.4731E-04,1.2226E-04,1.0297E-04,8.7678E-05,7.7105E-05,4.4247E-05,196,5,50
5,0005,Northwest Calif-01,1938,Ferndale City Hall,133,1023,5.50,35,90,0,0,40.3000,-124.8000,10,,54.88,55.78,52.73,,56.14,53.58,19.51,219.31,40.576,-124.263,NWCALIF.AB\A-FRN045.AT2,NWCALIF.AB\A-FRN135.AT2,NWCALIF.AB\A-FRNDWN.AT2,45,135,0.625,0.163,0.625,1.2218E-01,6.5639E+00,7.3306E-01,1.2249E-01,1.2414E-01,1.2307E-01,1.2300E-01,1.2500E-01,1.2542E-01,1.2557E-01,1.2586E-01,1.2667E-01,1.3238E-01,1.3279E-01,1.3223E-01,1.3277E-01,1.3318E-01,1.3136E-01,1.2703E-01,1.3680E-01,1.4323E-01,1.3919E-01,1.3421E-01,1.3772E-01,1.5152E-01,1.5661E-01,1.5215E-01,1.4282E-01,1.4529E-01,1.5693E-01,1.7512E-01,1.8507E-01,2.0519E-01,2.1630E-01,2.4148E-01,2.4680E-01,2.9196E-01,3.0077E-01,3.2300E-01,3.3968E-01,3.2422E-01,2.6128E-01,2.5031E-01,2.3277E-01,2.4689E-01,2.7967E-01,2.6480E-01,2.7107E-01,2.5911E-01,2.1274E-01,2.0459E-01,2.0085E-01,1.9402E-01,2.1159E-01,2.4222E-01,2.5856E-01,2.5829E-01,2.5736E-01,2.4615E-01,2.2309E-01,1.5566E-01,1.1501E-01,1.0776E-01,1.0497E-01,1.0209E-01,9.1499E-02,9.0291E-02,9.2053E-02,8.5738E-02,9.3186E-02,9.3659E-02,5.1430E-02,4.1416E-02,4.2914E-02,3.6200E-02,2.6785E-02,2.1614E-02,1.9643E-02,1.6383E-02,1.3886E-02,1.3654E-02,1.0225E-02,7.9731E-03,7.1630E-03,6.2043E-03,5.2474E-03,4.0216E-03,3.6110E-03,3.1991E-03,3.0290E-03,2.8442E-03,2.5994E-03,2.3724E-03,2.1386E-03,1.8833E-03,1.6670E-03,1.5253E-03,1.3975E-03,1.1339E-03,9.6050E-04,8.1538E-04,6.7517E-04,5.5934E-04,4.7227E-04,4.0142E-04,3.4843E-04,3.0944E-04,2.7631E-04,2.2797E-04,1.9333E-04,1.6595E-04,1.4394E-04,1.2601E-04,7.1973E-05,35,5,50
6,0006,Imperial Valley-02,1940,El Centro Array #9,75,117,6.95,323,80,180,0,32.7601,-115.4162,8.8,Imperial fault,12.98,15.69,6.09,,15.8,6.09,-6.09,213.44,32.794,-115.549,IMPVALL.I\I-ELC180.AT2,IMPVALL.I\I-ELC270.AT2,IMPVALL.I\I-ELC-UP.AT2,180,270,0.250,0.163,0.250,2.3349E-01,3.1299E+01,1.8447E+01,2.3462E-01,2.3357E-01,2.3373E-01,2.3399E-01,2.3437E-01,2.3445E-01,2.3461E-01,2.3481E-01,2.3492E-01,2.3598E-01,2.3606E-01,2.3641E-01,2.3684E-01,2.3739E-01,2.3835E-01,2.3935E-01,2.4066E-01,2.4258E-01,2.4488E-01,2.4843E-01,2.5182E-01,2.7338E-01,3.1460E-01,3.2651E-01,3.4259E-01,3.9422E-01,4.2696E-01,4.3246E-01,4.9647E-01,5.8213E-01,5.9093E-01,5.3811E-01,5.5226E-01,5.2196E-01,5.8759E-01,5.8893E-01,5.7773E-01,5.7773E-01,6.5562E-01,6.0913E-01,6.1171E-01,5.9969E-01,5.5898E-01,5.4173E-01,5.2630E-01,6.0061E-01,5.8275E-01,5.6116E-01,5.5208E-01,5.8098E-01,5.5625E-01,5.3024E-01,6.0760E-01,6.5946E-01,6.7671E-01,6.4111E-01,6.2995E-01,6.1884E-01,5.5943E-01,4.6852E-01,4.6869E-01,5.0468E-01,4.3535E-01,4.5188E-01,4.4488E-01,4.2695E-01,3.7623E-01,3.5129E-01,3.1564E-01,3.2386E-01,2.6197E-01,2.2122E-01,1.9736E-01,1.8855E-01,1.8189E-01,1.8633E-01,1.9991E-01,2.1575E-01,1.8184E-01,1.5401E-01,1.3936E-01,1.2860E-01,1.1961E-01,1.0636E-01,8.7475E-02,7.5265E-02,7.0213E-02,6.5060E-02,5.4688E-02,4.6965E-02,4.6228E-02,4.7873E-02,4.4519E-02,4.2265E-02,4.2652E-02,3.9718E-02,3.2002E-02,2.5446E-02,2.3741E-02,1.9783E-02,1.6504E-02,1.3715E-02,1.1194E-02,8.9664E-03,7.6260E-03,6.6747E-03,4.9977E-03,4.0742E-03,3.4669E-03,3.0476E-03,1.7892E-03,323,5,50
8,0008,Northern Calif-01,1941,Ferndale City Hall,133,1023,6.40,299.4,90,0,0,40.4000,-124.8000,10,,49.49,50.49,44.52,,53.3,44.68,39.47,219.31,40.576,-124.263,NCALIF.FH\F-FRN225.AT2,NCALIF.FH\F-FRN315.AT2,NCALIF.FH\F-FRN-UP.AT2,225,315,0.375,0.250,0.375,1.1688E-01,6.3558E+00,1.0714E+00,1.1699E-01,1.1735E-01,1.1759E-01,1.1782E-01,1.1807E-01,1.1797E-01,1.1793E-01,1.1815E-01,1.1848E-01,1.2081E-01,1.2143E-01,1.2243E-01,1.2307E-01,1.2357E-01,1.2452E-01,1.2505E-01,1.2512E-01,1.2524E-01,1.2634E-01,1.2600E-01,1.3252E-01,1.4368E-01,1.5668E-01,1.5962E-01,1.6109E-01,1.6876E-01,1.8029E-01,2.0871E-01,2.4390E-01,2.4000E-01,2.4220E-01,2.6270E-01,2.7156E-01,2.6569E-01,2.7528E-01,2.8277E-01,2.8501E-01,2.6444E-01,2.5811E-01,2.6445E-01,2.8707E-01,3.0210E-01,2.9468E-01,2.7852E-01,2.7222E-01,3.0486E-01,3.1707E-01,2.8916E-01,2.7397E-01,2.8498E-01,2.7352E-01,2.4074E-01,1.9345E-01,1.7694E-01,1.7907E-01,1.6691E-01,1.4489E-01,1.4180E-01,2.0659E-01,2.1763E-01,2.0696E-01,1.6802E-01,1.1135E-01,1.0312E-01,9.9858E-02,1.0021E-01,8.2601E-02,7.4299E-02,5.0606E-02,3.8962E-02,3.3077E-02,2.5856E-02,2.3216E-02,2.2690E-02,2.0137E-02,1.7548E-02,1.5146E-02,1.3121E-02,1.4531E-02,1.2739E-02,1.1772E-02,1.0771E-02,9.6835E-03,8.5758E-03,7.6634E-03,7.4317E-03,7.1033E-03,6.6276E-03,5.6186E-03,5.2674E-03,4.6803E-03,3.9783E-03,3.4206E-03,2.8400E-03,2.5007E-03,1.9311E-03,1.5057E-03,1.2028E-03,9.8808E-04,8.3460E-04,7.2032E-04,6.3362E-04,5.6503E-04,5.0873E-04,4.6157E-04,3.8558E-04,3.2749E-04,2.8117E-04,2.4322E-04,2.1230E-04,1.1813E-04,299,5,50
9,0009,Borrego,1942,El Centro Array #9,75,117,6.50,40,90,0,0,33.0490,-116.0880,8,,57.79,58.34,56.88,,60.21,56.88,56.78,213.44,32.794,-115.549,BORREGO\B-ELC000.AT2,BORREGO\B-ELC090.AT2,BORREGO\B-ELC-UP.AT2,0,90,0.125,0.125,0.125,5.2247E-02,6.1297E+00,4.2278E+00,5.2331E-02,5.2717E-02,5.2877E-02,5.2797E-02,5.3093E-02,5.3089E-02,5.3217E-02,5.2990E-02,5.3238E-02,5.4391E-02,5.5783E-02,5.7542E-02,5.7938E-02,5.8204E-02,5.9002E-02,6.0934E-02,6.4718E-02,7.0356E-02,7.7487E-02,8.2459E-02,9.1485E-02,8.8605E-02,9.2925E-02,1.0862E-01,1.0729E-01,1.1138E-01,1.1141E-01,1.0447E-01,1.0574E-01,1.2206E-01,1.1882E-01,1.1986E-01,1.1606E-01,1.1553E-01,1.1856E-01,1.4773E-01,1.4658E-01,1.4573E-01,1.7135E-01,1.5684E-01,1.6633E-01,1.4762E-01,1.3406E-01,1.4668E-01,1.5467E-01,1.5645E-01,1.4380E-01,1.3461E-01,1.2896E-01,1.2397E-01,1.1899E-01,1.1492E-01,1.0849E-01,1.0765E-01,1.1570E-01,1.2340E-01,1.2621E-01,9.8458E-02,7.7180E-02,7.0393E-02,7.0580E-02,6.3421E-02,6.4726E-02,7.3019E-02,6.5777E-02,6.0168E-02,5.6048E-02,5.2709E-02,4.7339E-02,5.2656E-02,6.1683E-02,7.5004E-02,6.9296E-02,5.6741E-02,4.0212E-02,4.1781E-02,4.6250E-02,4.0902E-02,2.8638E-02,2.3210E-02,1.8992E-02,1.5466E-02,1.5646E-02,1.3001E-02,1.1850E-02,1.3051E-02,1.2705E-02,1.2169E-02,1.2168E-02,1.1597E-02,1.3378E-02,1.5447E-02,1.7229E-02,1.9911E-02,2.1721E-02,2.0858E-02,2.1598E-02,2.0404E-02,1.7254E-02,1.3785E-02,1.0808E-02,8.1525E-03,6.1345E-03,4.7821E-03,3.9926E-03,2.5729E-03,1.7480E-03,1.2939E-03,1.0507E-03,9.3697E-04,4.7340E-04,40,5,50
10,0010,Imperial Valley-03,1951,El Centro Array #9,75,117,5.60,325.1,90,0,0,33.0320,-115.6540,9.5,,28.24,29.80,24.58,,29.36,25.24,-7.11,213.44,32.794,-115.549,IMPVALL.BG\C-ELC000.AT2,IMPVALL.BG\C-ELC090.AT2,IMPVALL.BG\C-ELC-UP.AT2,0,90,0.500,0.163,0.500,2.9364E-02,3.0823E+00,5.8901E-01,2.9403E-02,2.9519E-02,2.9559E-02,2.9652E-02,2.9741E-02,2.9798E-02,2.9853E-02,2.9855E-02,2.9880E-02,3.0242E-02,3.0327E-02,3.0278E-02,3.0260E-02,3.0254E-02,3.0193E-02,3.0561E-02,3.1127E-02,3.2033E-02,3.3680E-02,3.3989E-02,3.3331E-02,3.4760E-02,3.8216E-02,4.1613E-02,4.1921E-02,4.4793E-02,4.8427E-02,6.0237E-02,6.5355E-02,6.7201E-02,7.0537E-02,7.6876E-02,7.1512E-02,6.4833E-02,6.0035E-02,5.8842E-02,6.0292E-02,6.3528E-02,6.3105E-02,6.4377E-02,6.4431E-02,6.1507E-02,6.1325E-02,6.9196E-02,7.3312E-02,8.1226E-02,8.0974E-02,8.0052E-02,8.1124E-02,8.1210E-02,8.0016E-02,8.1732E-02,8.6709E-02,9.1083E-02,9.4112E-02,9.8500E-02,1.0249E-01,8.7004E-02,8.6517E-02,7.7662E-02,7.6701E-02,6.7167E-02,6.6397E-02,5.8818E-02,4.8783E-02,4.5487E-02,4.4773E-02,3.8724E-02,3.2953E-02,2.8849E-02,2.5652E-02,2.3636E-02,2.1826E-02,1.8585E-02,1.7157E-02,1.6530E-02,1.8327E-02,1.7585E-02,1.4165E-02,1.1721E-02,1.0285E-02,8.5805E-03,7.4064E-03,6.9386E-03,6.5602E-03,5.9494E-03,5.3588E-03,4.5878E-03,4.2827E-03,3.7458E-03,3.3201E-03,2.9900E-03,2.3238E-03,2.0785E-03,1.8071E-03,1.4295E-03,9.6390E-04,9.0996E-04,8.3755E-04,7.7528E-04,6.2170E-04,5.4606E-04,4.6448E-04,4.2111E-04,3.7564E-04,3.0620E-04,2.5581E-04,2.1071E-04,1.7752E-04,1.4547E-04,8.4525E-05,325,5,50
11,0011,Northwest Calif-03,1951,Ferndale City Hall,133,1023,5.80,283.1,90,0,0,40.2830,-124.8000,10,,55.96,56.85,53.73,,55.95,53.77,42.2,219.31,40.576,-124.263,NWCALIF.AB\B-FRN224.AT2,NWCALIF.AB\B-FRN314.AT2,NWCALIF.AB\B-FRN-UP.AT2,224,314,0.500,0.500,0.500,1.0709E-01,6.3325E+00,8.6109E-01,1.0729E-01,1.0828E-01,1.0845E-01,1.0852E-01,1.0989E-01,1.1023E-01,1.1053E-01,1.1070E-01,1.1082E-01,1.1134E-01,1.1322E-01,1.1393E-01,1.1463E-01,1.1589E-01,1.1913E-01,1.2038E-01,1.2110E-01,1.1794E-01,1.1844E-01,1.1758E-01,1.1508E-01,1.2271E-01,1.4050E-01,1.3329E-01,1.5158E-01,1.5121E-01,1.6397E-01,1.8791E-01,1.7900E-01,1.8851E-01,1.9580E-01,2.1416E-01,2.5575E-01,2.7159E-01,2.8938E-01,3.1891E-01,3.3346E-01,2.8740E-01,2.4635E-01,2.3118E-01,2.1483E-01,2.0789E-01,2.4692E-01,2.5043E-01,2.6479E-01,2.3245E-01,1.8046E-01,1.7801E-01,1.9944E-01,2.3709E-01,2.6896E-01,2.8229E-01,2.6423E-01,2.4944E-01,2.3355E-01,2.0181E-01,1.7293E-01,1.4744E-01,1.2973E-01,1.4271E-01,1.3867E-01,1.3957E-01,1.2419E-01,1.1740E-01,1.0321E-01,9.2693E-02,8.5903E-02,8.5661E-02,6.8500E-02,5.3879E-02,4.6019E-02,4.4948E-02,4.0947E-02,3.4271E-02,3.0732E-02,2.6225E-02,2.1495E-02,1.9499E-02,1.4414E-02,1.0860E-02,1.0129E-02,9.6421E-03,8.3726E-03,7.0299E-03,5.8184E-03,4.8058E-03,4.3761E-03,3.9937E-03,3.3549E-03,2.8547E-03,2.4621E-03,2.1514E-03,1.9024E-03,1.7003E-03,1.5341E-03,1.2261E-03,1.0145E-03,8.5922E-04,7.3968E-04,6.4451E-04,5.6688E-04,5.0245E-04,4.4831E-04,4.0233E-04,3.6295E-04,2.9945E-04,2.5103E-04,2.1332E-04,1.8344E-04,1.5937E-04,8.8694E-05,283,5,50
15,0012,Kern County,1952,Taft Lincoln School,148,1095,7.36,51,75,61,2,34.9906,-119.0240,15.63,White Wolf fault,43.49,46.21,38.42,,56.44,38.89,-36.23,385.43,35.15,-119.46,KERN\TAF021.AT2,KERN\TAF111.AT2,KERN\TAF-UP.AT2,21,111,0.125,0.063,0.125,1.6450E-01,1.6965E+01,8.0389E+00,1.6565E-01,1.6541E-01,1.6567E-01,1.6631E-01,1.6715E-01,1.6736E-01,1.6793E-01,1.6873E-01,1.6867E-01,1.7009E-01,1.7058E-01,1.6998E-01,1.6970E-01,1.7000E-01,1.7226E-01,1.7375E-01,1.7883E-01,1.8892E-01,1.8919E-01,1.8679E-01,1.9162E-01,2.1043E-01,2.0633E-01,2.3746E-01,2.3092E-01,2.4566E-01,2.4430E-01,2.5827E-01,2.6636E-01,3.2072E-01,3.3994E-01,3.3757E-01,3.1212E-01,3.5966E-01,4.0408E-01,3.9928E-01,3.9485E-01,4.5188E-01,4.5746E-01,3.9876E-01,3.7224E-01,3.6973E-01,3.6142E-01,3.5183E-01,3.9360E-01,4.5384E-01,5.1097E-01,5.1387E-01,4.9152E-01,3.9358E-01,4.0913E-01,4.6910E-01,4.5922E-01,4.3751E-01,4.3489E-01,3.8508E-01,3.6534E-01,2.6411E-01,2.9720E-01,3.3709E-01,3.3284E-01,2.8965E-01,2.8015E-01,2.9765E-01,3.0318E-01,2.4867E-01,1.9734E-01,1.6900E-01,1.5684E-01,1.4609E-01,1.3404E-01,1.2618E-01,1.2873E-01,1.2459E-01,1.1501E-01,9.8168E-02,8.2964E-02,7.1021E-02,6.0500E-02,5.2109E-02,4.8834E-02,4.8473E-02,4.6735E-02,4.5535E-02,4.1764E-02,3.6436E-02,3.4449E-02,3.1612E-02,2.8737E-02,2.8808E-02,2.8882E-02,3.2287E-02,3.3896E-02,3.3488E-02,3.2793E-02,2.9726E-02,2.3938E-02,2.2499E-02,1.9206E-02,1.6205E-02,1.2957E-02,1.3074E-02,1.3483E-02,1.1165E-02,8.6268E-03,5.1156E-03,4.5511E-03,4.3468E-03,3.1498E-03,2.3791E-03,1.0523E-03,51.00,5,50
